trainable params: 114,688 || all params: 26,993,152 || trainable%: 0.4248781320536409
Epoch:[0/10](11100/123401) loss:2.075 lr:0.0001000 epoch_Time:105.0min:
Epoch:[0/10](11200/123401) loss:2.279 lr:0.0001000 epoch_Time:105.0min:
Epoch:[0/10](11300/123401) loss:2.599 lr:0.0001000 epoch_Time:105.0min:
Epoch:[0/10](11400/123401) loss:2.556 lr:0.0001000 epoch_Time:105.0min:
Epoch:[0/10](11500/123401) loss:2.397 lr:0.0001000 epoch_Time:105.0min:
Epoch:[0/10](11600/123401) loss:2.513 lr:0.0001000 epoch_Time:105.0min:
Epoch:[0/10](11700/123401) loss:2.754 lr:0.0001000 epoch_Time:105.0min:
Epoch:[0/10](11800/123401) loss:2.404 lr:0.0001000 epoch_Time:104.0min:
Epoch:[0/10](11900/123401) loss:2.546 lr:0.0001000 epoch_Time:104.0min:
Epoch:[0/10](12000/123401) loss:2.387 lr:0.0001000 epoch_Time:104.0min:
Epoch:[0/10](12100/123401) loss:2.316 lr:0.0001000 epoch_Time:104.0min:
Epoch:[0/10](12200/123401) loss:2.570 lr:0.0001000 epoch_Time:104.0min:
Epoch:[0/10](12300/123401) loss:2.560 lr:0.0001000 epoch_Time:104.0min:
Epoch:[0/10](12400/123401) loss:2.501 lr:0.0001000 epoch_Time:104.0min:
Epoch:[0/10](12500/123401) loss:2.545 lr:0.0001000 epoch_Time:104.0min:
Epoch:[0/10](12600/123401) loss:2.395 lr:0.0001000 epoch_Time:104.0min:
Epoch:[0/10](12700/123401) loss:2.630 lr:0.0001000 epoch_Time:104.0min:
Epoch:[0/10](12800/123401) loss:2.532 lr:0.0001000 epoch_Time:104.0min:
Epoch:[0/10](12900/123401) loss:2.554 lr:0.0001000 epoch_Time:103.0min:
Epoch:[0/10](13000/123401) loss:2.458 lr:0.0001000 epoch_Time:103.0min:
Epoch:[0/10](13100/123401) loss:2.686 lr:0.0001000 epoch_Time:103.0min:
Epoch:[0/10](13200/123401) loss:2.408 lr:0.0001000 epoch_Time:103.0min:
Epoch:[0/10](13300/123401) loss:2.460 lr:0.0001000 epoch_Time:103.0min:
Epoch:[0/10](13400/123401) loss:2.421 lr:0.0001000 epoch_Time:103.0min:
Epoch:[0/10](13500/123401) loss:2.699 lr:0.0001000 epoch_Time:103.0min:
Epoch:[0/10](13600/123401) loss:2.569 lr:0.0001000 epoch_Time:103.0min:
